x,y,z,ax,ay,az,aw
0.0,0.0,0.0,0.0,0.0,0.0,
0.0,0.0,0.0,0.0,0.0,0.0,
0.0,0.0,0.0,0.0,0.0,0.0,
0.0,0.0,0.0,0.0,0.0,0.0,
0.0,0.0,0.0,0.0,0.0,0.0,
0.0,0.0,0.0,0.0,0.0,0.0,
0.0,0.0,0.0,0.0,0.0,0.0,
0.0,0.0,0.0,0.0,0.0,0.0,
0.0,0.0,0.0,0.0,0.0,0.0,
0.0,0.0,0.0,0.0,0.0,0.0,
0.0,0.0,0.0,0.0,0.0,0.0,
0.0,0.0,0.0,0.0,0.0,0.0,
0.0,0.0,0.0,0.0,0.0,0.0,
0.0,0.0,0.0,0.0,0.0,0.0,
0.0,0.0,0.0,0.0,0.0,0.0,
0.0,0.0,0.0,0.0,0.0,0.0,
0.0,0.0,0.0,0.0,0.0,0.0,
0.0,0.0,0.0,0.0,0.0,0.0,
0.0,0.0,0.0,0.0,0.0,0.0,
0.0,0.0,0.0,0.0,0.0,0.0,
0.0,0.0,0.0,0.0,0.0,0.0,
0.0,0.0,0.0,0.0,0.0,0.0,
0.0,0.0,0.0,0.0,0.0,0.0,
0.0,0.0,0.0,0.0,0.0,0.0,
0.0,0.0,0.0,0.0,0.0,0.0,
0.0,0.0,0.0,0.0,0.0,0.0,
0.0,0.0,0.0,0.0,0.0,0.0,
0.0,0.0,0.0,0.0,0.0,0.0,
0.0,0.0,0.0,0.0,0.0,0.0,
0.0,0.0,0.0,0.0,0.0,0.0,
0.0,0.0,0.0,0.0,0.0,0.0,
0.0,0.0,0.0,0.0,0.0,0.0,
0.0,0.0,0.0,0.0,0.0,0.0,
0.0,0.0,0.0,0.0,0.0,0.0,
0.0,0.0,0.0,0.0,0.0,0.0,
0.0,0.0,0.0,0.0,0.0,0.0,
0.0,0.0,0.0,0.0,0.0,0.0,
0.0,0.0,0.0,0.0,0.0,0.0,
0.0,0.0,0.0,0.0,0.0,0.0,
0.0,0.0,0.0,0.0,0.0,0.0,
0.0,0.0,0.0,0.0,0.0,0.0,
0.0,0.0,0.0,0.0,0.0,0.0,
0.0,0.0,0.0,0.0,0.0,0.0,
0.0,0.0,0.0,0.0,0.0,0.0,
0.0,0.0,0.0,0.0,0.0,0.0,
0.0,0.0,0.0,0.0,0.0,0.0,
0.0,0.0,0.0,0.0,0.0,0.0,
0.0,0.0,0.0,0.0,0.0,0.0,
0.0,0.0,0.0,0.0,0.0,0.0,
0.0,0.0,0.0,0.0,0.0,0.0,
0.0,0.0,0.0,0.0,0.0,0.0,
0.0,0.0,0.0,0.0,0.0,0.0,
0.0,0.0,0.0,0.0,0.0,0.0,
0.0,0.0,0.0,0.0,0.0,0.0,
0.0,0.0,0.0,0.0,0.0,0.0,
0.0,0.0,0.0,0.0,0.0,0.0,
0.0,0.0,0.0,0.0,0.0,0.0,
0.0,0.0,0.0,0.0,0.0,0.0,
0.0,0.0,0.0,0.0,0.0,0.0,
0.0,0.0,0.0,0.0,0.0,0.0,
0.0,0.0,0.0,0.0,0.0,0.0,
0.0,0.0,0.0,0.0,0.0,0.0,
0.0,0.0,0.0,0.0,0.0,0.0,
0.0,0.0,0.0,0.0,0.0,0.0,
0.0,0.0,0.0,0.0,0.0,0.0,
0.0,0.0,0.0,0.0,0.0,0.0,
0.0,0.0,0.0,0.0,0.0,0.0,
0.0,0.0,0.0,0.0,0.0,0.0,
0.0,0.0,0.0,0.0,0.0,0.0,
0.0,0.0,0.0,0.0,0.0,0.0,
0.0,0.0,0.0,0.0,0.0,0.0,
0.0,0.0,0.0,0.0,0.0,0.0,
0.0,0.0,0.0,0.0,0.0,0.0,
0.0,0.0,0.0,0.0,0.0,0.0,
0.0,0.0,0.0,0.0,0.0,0.0,
0.0,0.0,0.0,0.0,0.0,0.0,
0.0,0.0,0.0,0.0,0.0,0.0,
0.0,0.0,0.0,0.0,0.0,0.0,
0.0,0.0,0.0,0.0,0.0,0.0,
0.0,0.0,0.0,0.0,0.0,0.0,
11.1112,0.0,0.0,0.0,0.0,0.0018176469041735674,
11.1112,0.0,0.0,0.0,0.0,0.0018176469041735674,
11.1112,0.0,0.0,0.0,0.0,0.0018176469041735674,
11.1112,0.0,0.0,0.0,0.0,0.0018176469041735674,
11.1112,0.0,0.0,0.0,0.0,0.0018176469041735674,
11.1112,0.0,0.0,0.0,0.0,0.0010982136065636509,
11.1112,0.0,0.0,0.0,0.0,0.0010982136065636509,
11.1112,0.0,0.0,0.0,0.0,0.0010982136065636509,
11.1112,0.0,0.0,0.0,0.0,0.0010982136065636509,
11.1112,0.0,0.0,0.0,0.0,0.00022679855501551166,
11.1112,0.0,0.0,0.0,0.0,0.00022679855501551166,
11.1112,0.0,0.0,0.0,0.0,0.00022679855501551166,
11.1112,0.0,0.0,0.0,0.0,0.0011064018227771256,
11.1112,0.0,0.0,0.0,0.0,0.0011064018227771256,
11.1112,0.0,0.0,0.0,0.0,0.0010281128327156142,
11.1112,0.0,0.0,0.0,0.0,0.0010281128327156142,
11.1112,0.0,0.0,0.0,0.0,0.0010281128327156142,
11.1112,0.0,0.0,0.0,0.0,0.0009853000338051253,
11.1112,0.0,0.0,0.0,0.0,0.0009746046880774265,
11.1112,0.0,0.0,0.0,0.0,0.0009653117955926805,
11.1112,0.0,0.0,0.0,0.0,0.0009653117955926805,
11.1112,0.0,0.0,0.0,0.0,0.0009427396938256327,
11.1112,0.0,0.0,0.0,0.0,0.0009427396938256327,
11.1112,0.0,0.0,0.0,0.0,0.0009302861471998393,
11.1112,0.0,0.0,0.0,0.0,0.0009302861471998393,
11.1112,0.0,0.0,0.0,0.0,0.0009302861471998393,
11.1112,0.0,0.0,0.0,0.0,0.0009177559719096657,
11.1112,0.0,0.0,0.0,0.0,0.0008915339277691317,
11.1112,0.0,0.0,0.0,0.0,0.0008915339277691317,
11.1112,0.0,0.0,0.0,0.0,0.0008915339277691317,
11.1112,0.0,0.0,0.0,0.0,0.0008651890604098805,
11.1112,0.0,0.0,0.0,0.0,0.0008651890604098805,
11.1112,0.0,0.0,0.0,0.0,0.0008651890604098805,
11.1112,0.0,0.0,0.0,0.0,0.0008487341383695484,
11.1112,0.0,0.0,0.0,0.0,0.0008400791380016309,
11.1112,0.0,0.0,0.0,0.0,0.0008400791380016309,
11.1112,0.0,0.0,0.0,0.0,0.0008400791380016309,
11.1112,0.0,0.0,0.0,0.0,0.003629244497438041,
11.1112,0.0,0.0,0.0,0.0,0.003629244497438041,
11.1112,0.0,0.0,0.0,0.0,0.003629244497438041,
11.1112,0.0,0.0,0.0,0.0,0.0037419036556407244,
11.1112,0.0,0.0,0.0,0.0,0.0037419036556407244,
11.1112,0.0,0.0,0.0,0.0,0.003712005126678611,
11.1112,0.0,0.0,0.0,0.0,0.0036996333075260106,
11.1112,0.0,0.0,0.0,0.0,0.0036996333075260106,
11.1112,0.0,0.0,0.0,0.0,0.0036996333075260106,
11.1112,0.0,0.0,0.0,0.0,0.003616743264633992,
11.1112,0.0,0.0,0.0,0.0,0.003616743264633992,
11.1112,0.0,0.0,0.0,0.0,0.003616743264633992,
11.1112,0.0,0.0,0.0,0.0,0.005927247391398757,
11.1112,0.0,0.0,0.0,0.0,0.005927247391398757,
11.1112,0.0,0.0,0.0,0.0,0.008865699652702345,
11.1112,0.0,0.0,0.0,0.0,0.008865699652702345,
11.1112,0.0,0.0,0.0,0.0,0.008865699652702345,
11.1112,0.0,0.0,0.0,0.0,0.008851577144400914,
11.1112,0.0,0.0,0.0,0.0,0.00880944921501866,
11.1112,0.0,0.0,0.0,0.0,0.00880944921501866,
11.1112,0.0,0.0,0.0,0.0,0.008723223517790509,
11.1112,0.0,0.0,0.0,0.0,0.008723223517790509,
11.1112,0.0,0.0,0.0,0.0,0.008723223517790509,
11.1112,0.0,0.0,0.0,0.0,0.010908234839371587,
11.1112,0.0,0.0,0.0,0.0,0.012196775636585458,
11.1112,0.0,0.0,0.0,0.0,0.012196775636585458,
11.1112,0.0,0.0,0.0,0.0,0.012196775636585458,
11.1112,0.0,0.0,0.0,0.0,0.012213343587093594,
11.1112,0.0,0.0,0.0,0.0,0.012213343587093594,
11.1112,0.0,0.0,0.0,0.0,0.012213343587093594,
11.1112,0.0,0.0,0.0,0.0,0.015148322115748314,
11.1112,0.0,0.0,0.0,0.0,0.016959911809877378,
11.1112,0.0,0.0,0.0,0.0,0.01705082599923341,
11.1112,0.0,0.0,0.0,0.0,0.018252536855219843,
11.1112,0.0,0.0,0.0,0.0,0.018252536855219843,
11.1112,0.0,0.0,0.0,0.0,0.018252536855219843,
11.1112,0.0,0.0,0.0,0.0,0.018265216867132773,
11.1112,0.0,0.0,0.0,0.0,0.018265216867132773,
11.1112,0.0,0.0,0.0,0.0,0.018265216867132773,
11.1112,0.0,0.0,0.0,0.0,0.018246070155990623,
11.1112,0.0,0.0,0.0,0.0,0.018246070155990623,
11.1112,0.0,0.0,0.0,0.0,0.01801809698868552,
11.1112,0.0,0.0,0.0,0.0,0.01801809698868552,
11.1112,0.0,0.0,0.0,0.0,0.01801809698868552,
11.1112,0.0,0.0,0.0,0.0,0.017775709774596343,
11.1112,0.0,0.0,0.0,0.0,0.017775709774596343,
11.1112,0.0,0.0,0.0,0.0,0.017775709774596343,
11.1112,0.0,0.0,0.0,0.0,0.01765637289321643,
11.1112,0.0,0.0,0.0,0.0,0.017620417676739306,
11.1112,0.0,0.0,0.0,0.0,0.017620417676739306,
11.1112,0.0,0.0,0.0,0.0,0.019788823821925903,
11.1112,0.0,0.0,0.0,0.0,0.020979350718483353,
11.1112,0.0,0.0,0.0,0.0,0.020979350718483353,
11.1112,0.0,0.0,0.0,0.0,0.020943606828289423,
11.1112,0.0,0.0,0.0,0.0,0.024088767699631437,
11.1112,0.0,0.0,0.0,0.0,0.024088767699631437,
11.1112,0.0,0.0,0.0,0.0,0.024088767699631437,
11.1112,0.0,0.0,0.0,0.0,0.02440633015567474,
11.1112,0.0,0.0,0.0,0.0,0.02434584350161494,
11.1112,0.0,0.0,0.0,0.0,0.024313437702260448,
11.1112,0.0,0.0,0.0,0.0,0.024833453482748458,
11.1112,0.0,0.0,0.0,0.0,0.024833453482748458,
11.1112,0.0,0.0,0.0,0.0,0.024833453482748458,
11.1112,0.0,0.0,0.0,0.0,0.02481957818432828,
11.1112,0.0,0.0,0.0,0.0,0.02481957818432828,
11.1112,0.0,0.0,0.0,0.0,0.024638726797026476,
11.1112,0.0,0.0,0.0,0.0,0.024638726797026476,
11.1112,0.0,0.0,0.0,0.0,0.02638304808717632,
11.1112,0.0,0.0,0.0,0.0,0.027079478816925746,
11.1112,0.0,0.0,0.0,0.0,0.0276532916492787,
11.1112,0.0,0.0,0.0,0.0,0.0276532916492787,
11.1112,0.0,0.0,0.0,0.0,0.030251606328865904,
11.1112,0.0,0.0,0.0,0.0,0.03006344775076097,
11.1112,0.0,0.0,0.0,0.0,0.03006344775076097,
11.1112,0.0,0.0,0.0,0.0,0.03006344775076097,
11.1112,0.0,0.0,0.0,0.0,0.029907432277533376,
11.1112,0.0,0.0,0.0,0.0,0.029907432277533376,
11.1112,0.0,0.0,0.0,0.0,0.029907432277533376,
11.1112,0.0,0.0,0.0,0.0,0.026253910621718488,
11.1112,0.0,0.0,0.0,0.0,0.026253910621718488,
11.1112,0.0,0.0,0.0,0.0,0.025346032428556396,
11.1112,0.0,0.0,0.0,0.0,0.023009565766734946,
11.1112,0.0,0.0,0.0,0.0,0.023009565766734946,
11.1112,0.0,0.0,0.0,0.0,0.023009565766734946,
11.1112,0.0,0.0,0.0,0.0,0.020434157850736042,
11.1112,0.0,0.0,0.0,0.0,0.020434157850736042,
11.1112,0.0,0.0,0.0,0.0,0.020434157850736042,
11.1112,0.0,0.0,0.0,0.0,0.020636160807370022,
11.1112,0.0,0.0,0.0,0.0,0.02077267121153403,
11.1112,0.0,0.0,0.0,0.0,0.020471881656353268,
11.1112,0.0,0.0,0.0,0.0,0.020471881656353268,
11.1112,0.0,0.0,0.0,0.0,0.020471881656353268,
11.1112,0.0,0.0,0.0,0.0,0.02060587043504072,
11.1112,0.0,0.0,0.0,0.0,0.020959039992970142,
11.1112,0.0,0.0,0.0,0.0,0.020959039992970142,
11.1112,0.0,0.0,0.0,0.0,0.020959039992970142,
11.1112,0.0,0.0,0.0,0.0,0.01874761817318352,
11.1112,0.0,0.0,0.0,0.0,0.01874761817318352,
11.1112,0.0,0.0,0.0,0.0,0.01874761817318352,
11.1112,0.0,0.0,0.0,0.0,0.01860230120854309,
11.1112,0.0,0.0,0.0,0.0,0.01860230120854309,
11.1112,0.0,0.0,0.0,0.0,0.01860230120854309,
11.1112,0.0,0.0,0.0,0.0,0.01715949098608232,
11.1112,0.0,0.0,0.0,0.0,0.01715949098608232,
11.1112,0.0,0.0,0.0,0.0,0.017139172219508555,
11.1112,0.0,0.0,0.0,0.0,0.017267192034907817,
11.1112,0.0,0.0,0.0,0.0,0.017267192034907817,
11.1112,0.0,0.0,0.0,0.0,0.017468743512803496,
11.1112,0.0,0.0,0.0,0.0,0.017565998667428473,
11.1112,0.0,0.0,0.0,0.0,0.017565998667428473,
11.1112,0.0,0.0,0.0,0.0,0.015768439870279868,
11.1112,0.0,0.0,0.0,0.0,0.015768439870279868,
11.1112,0.0,0.0,0.0,0.0,0.015768439870279868,
11.1112,0.0,0.0,0.0,0.0,0.015638613046570427,
11.1112,0.0,0.0,0.0,0.0,0.015638613046570427,
11.1112,0.0,0.0,0.0,0.0,0.015638613046570427,
11.1112,0.0,0.0,0.0,0.0,0.015049506115822302,
11.1112,0.0,0.0,0.0,0.0,0.014707966058490344,
11.1112,0.0,0.0,0.0,0.0,0.014707966058490344,
11.1112,0.0,0.0,0.0,0.0,0.012903658936361044,
11.1112,0.0,0.0,0.0,0.0,0.012003441404828475,
11.1112,0.0,0.0,0.0,0.0,0.012003441404828475,
11.1112,0.0,0.0,0.0,0.0,0.012805022178211922,
11.1112,0.0,0.0,0.0,0.0,0.012171208308130966,
11.1112,0.0,0.0,0.0,0.0,0.012171208308130966,
11.1112,0.0,0.0,0.0,0.0,0.010994932467126791,
11.1112,0.0,0.0,0.0,0.0,0.010994932467126791,
11.1112,0.0,0.0,0.0,0.0,0.010994932467126791,
11.1112,0.0,0.0,0.0,0.0,0.009635217930322794,
11.1112,0.0,0.0,0.0,0.0,0.009635217930322794,
11.1112,0.0,0.0,0.0,0.0,0.010963092555096433,
11.1112,0.0,0.0,0.0,0.0,0.010963092555096433,
11.1112,0.0,0.0,0.0,0.0,0.010258830941578609,
11.1112,0.0,0.0,0.0,0.0,0.010258830941578609,
11.1112,0.0,0.0,0.0,0.0,0.010258830941578609,
11.1112,0.0,0.0,0.0,0.0,0.008976522643608594,
11.1112,0.0,0.0,0.0,0.0,0.008411464869579813,
11.1112,0.0,0.0,0.0,0.0,0.008185779434643442,
11.1112,0.0,0.0,0.0,0.0,0.00779076490611337,
11.1112,0.0,0.0,0.0,0.0,0.00779076490611337,
11.1112,0.0,0.0,0.0,0.0,0.007196748239747688,
11.1112,0.0,0.0,0.0,0.0,0.006839886835160467,
11.1112,0.0,0.0,0.0,0.0,0.006839886835160467,
11.1112,0.0,0.0,0.0,0.0,0.006839886835160467,
11.1112,0.0,0.0,0.0,0.0,0.006227118477096891,
11.1112,0.0,0.0,0.0,0.0,0.005907347032474728,
11.1112,0.0,0.0,0.0,0.0,0.005598543244262434,
11.1112,0.0,0.0,0.0,0.0,0.0053518638673687394,
11.1112,0.0,0.0,0.0,0.0,0.0053518638673687394,
11.1112,0.0,0.0,0.0,0.0,0.00687287563482132,
11.1112,0.0,0.0,0.0,0.0,0.00622662462233835,
11.1112,0.0,0.0,0.0,0.0,0.00622662462233835,
11.1112,0.0,0.0,0.0,0.0,0.005544140825839758,
11.1112,0.0,0.0,0.0,0.0,0.005544140825839758,
