x,y
1348.22,1181.62
1349.1,1181.53
1349.54,1181.49
1350.42,1181.4
1351.74,1181.27
1352.62,1181.19
1353.06,1181.15
1353.5,1181.1
1354.82,1180.98
1355.7,1180.89
1356.14,1180.85
1357.02,1180.77
1358.34,1180.64
1359.22,1180.56
1359.66,1180.52
1360.54,1180.44
1361.42,1180.35
1362.3,1180.27
1363.18,1180.19
1363.62,1180.15
1364.94,1180.03
1365.82,1179.94
1366.26,1179.9
1367.14,1179.82
1368.46,1179.7
1369.34,1179.62
1369.78,1179.58
1370.22,1179.54
1371.98,1179.37
1372.42,1179.33
1373.3,1179.25
1373.74,1179.21
1374.62,1179.12
1375.5,1179.04
1376.38,1178.96
1377.26,1178.88
1377.7,1178.84
1379.02,1178.71
1379.9,1178.62
1380.34,1178.58
1381.22,1178.49
1381.66,1178.45
1382.98,1178.31
1383.86,1178.22
1384.3,1178.18
1385.17,1178.09
1386.49,1177.95
1386.93,1177.9
1387.81,1177.81
1388.25,1177.76
1389.13,1177.67
1390.45,1177.53
1390.88,1177.48
1391.76,1177.38
1392.2,1177.33
1393.52,1177.18
1394.4,1177.08
1394.84,1177.03
1395.72,1176.93
1396.15,1176.88
1397.47,1176.73
1398.35,1176.62
1398.79,1176.57
1399.66,1176.47
1400.98,1176.32
1401.42,1176.26
1402.3,1176.16
1402.74,1176.11
1404.05,1175.95
1404.93,1175.84
1405.37,1175.79
1405.81,1175.73
1406.68,1175.62
1408.0,1175.46
1408.88,1175.35
1409.32,1175.3
1409.76,1175.24
1411.07,1175.08
1411.95,1174.96
1412.39,1174.91
1413.27,1174.8
1413.71,1174.74
1415.02,1174.58
1415.9,1174.47
1416.34,1174.41
1417.22,1174.3
1418.53,1174.13
1418.97,1174.08
1419.84,1173.97
1420.28,1173.91
1421.16,1173.8
1422.03,1173.69
1422.91,1173.58
1423.78,1173.46
1424.22,1173.41
1425.53,1173.24
1425.97,1173.18
1426.85,1173.07
1427.28,1173.01
1428.6,1172.84
